时间,省份,确诊,疑似,治愈,死亡

2020/1/10,全国,41,0,2,1
2020/1/10,广东,0,0,0,0
2020/1/10,青海,0,0,0,0
2020/1/10,四川,0,0,0,0
2020/1/10,海南,0,0,0,0
2020/1/10,陕西,0,0,0,0
2020/1/10,甘肃,0,0,0,0
2020/1/10,云南,0,0,0,0
2020/1/10,湖南,0,0,0,0
2020/1/10,湖北,41,0,2,1
2020/1/10,黑龙江,0,0,0,0
2020/1/10,贵州,0,0,0,0
2020/1/10,山东,0,0,0,0
2020/1/10,江西,0,0,0,0
2020/1/10,河南,0,0,0,0
2020/1/10,河北,0,0,0,0
2020/1/10,山西,0,0,0,0
2020/1/10,安徽,0,0,0,0
2020/1/10,福建,0,0,0,0
2020/1/10,浙江,0,0,0,0
2020/1/10,江苏,0,0,0,0
2020/1/10,吉林,0,0,0,0
2020/1/10,辽宁,0,0,0,0
2020/1/10,台湾,0,0,0,0
2020/1/10,新疆,0,0,0,0
2020/1/10,广西,0,0,0,0
2020/1/10,宁夏,0,0,0,0
2020/1/10,内蒙古,0,0,0,0
2020/1/10,西藏,0,0,0,0
2020/1/10,北京,0,0,0,0
2020/1/10,天津,0,0,0,0
2020/1/10,上海,0,0,0,0
2020/1/10,重庆,0,0,0,0
2020/1/10,香港,0,0,0,0
2020/1/10,澳门,0,0,0,0

2020/1/11,全国,41,0,4,1
2020/1/11,广东,0,0,0,0
2020/1/11,青海,0,0,0,0
2020/1/11,四川,0,0,0,0
2020/1/11,海南,0,0,0,0
2020/1/11,陕西,0,0,0,0
2020/1/11,甘肃,0,0,0,0
2020/1/11,云南,0,0,0,0
2020/1/11,湖南,0,0,0,0
2020/1/11,湖北,41,0,4,1
2020/1/11,黑龙江,0,0,0,0
2020/1/11,贵州,0,0,0,0
2020/1/11,山东,0,0,0,0
2020/1/11,江西,0,0,0,0
2020/1/11,河南,0,0,0,0
2020/1/11,河北,0,0,0,0
2020/1/11,山西,0,0,0,0
2020/1/11,安徽,0,0,0,0
2020/1/11,福建,0,0,0,0
2020/1/11,浙江,0,0,0,0
2020/1/11,江苏,0,0,0,0
2020/1/11,吉林,0,0,0,0
2020/1/11,辽宁,0,0,0,0
2020/1/11,台湾,0,0,0,0
2020/1/11,新疆,0,0,0,0
2020/1/11,广西,0,0,0,0
2020/1/11,宁夏,0,0,0,0
2020/1/11,内蒙古,0,0,0,0
2020/1/11,西藏,0,0,0,0
2020/1/11,北京,0,0,0,0
2020/1/11,天津,0,0,0,0
2020/1/11,上海,0,0,0,0
2020/1/11,重庆,0,0,0,0
2020/1/11,香港,0,0,0,0
2020/1/11,澳门,0,0,0,0

2020/1/12,全国,41,0,7,1
2020/1/12,广东,0,0,0,0
2020/1/12,青海,0,0,0,0
2020/1/12,四川,0,0,0,0
2020/1/12,海南,0,0,0,0
2020/1/12,陕西,0,0,0,0
2020/1/12,甘肃,0,0,0,0
2020/1/12,云南,0,0,0,0
2020/1/12,湖南,0,0,0,0
2020/1/12,湖北,41,0,7,1
2020/1/12,黑龙江,0,0,0,0
2020/1/12,贵州,0,0,0,0
2020/1/12,山东,0,0,0,0
2020/1/12,江西,0,0,0,0
2020/1/12,河南,0,0,0,0
2020/1/12,河北,0,0,0,0
2020/1/12,山西,0,0,0,0
2020/1/12,安徽,0,0,0,0
2020/1/12,福建,0,0,0,0
2020/1/12,浙江,0,0,0,0
2020/1/12,江苏,0,0,0,0
2020/1/12,吉林,0,0,0,0
2020/1/12,辽宁,0,0,0,0
2020/1/12,台湾,0,0,0,0
2020/1/12,新疆,0,0,0,0
2020/1/12,广西,0,0,0,0
2020/1/12,宁夏,0,0,0,0
2020/1/12,内蒙古,0,0,0,0
2020/1/12,西藏,0,0,0,0
2020/1/12,北京,0,0,0,0
2020/1/12,天津,0,0,0,0
2020/1/12,上海,0,0,0,0
2020/1/12,重庆,0,0,0,0
2020/1/12,香港,0,0,0,0
2020/1/12,澳门,0,0,0,0

2020/1/13,全国,41,0,7,1
2020/1/13,广东,0,0,0,0
2020/1/13,青海,0,0,0,0
2020/1/13,四川,0,0,0,0
2020/1/13,海南,0,0,0,0
2020/1/13,陕西,0,0,0,0
2020/1/13,甘肃,0,0,0,0
2020/1/13,云南,0,0,0,0
2020/1/13,湖南,0,0,0,0
2020/1/13,湖北,41,0,7,1
2020/1/13,黑龙江,0,0,0,0
2020/1/13,贵州,0,0,0,0
2020/1/13,山东,0,0,0,0
2020/1/13,江西,0,0,0,0
2020/1/13,河南,0,0,0,0
2020/1/13,河北,0,0,0,0
2020/1/13,山西,0,0,0,0
2020/1/13,安徽,0,0,0,0
2020/1/13,福建,0,0,0,0
2020/1/13,浙江,0,0,0,0
2020/1/13,江苏,0,0,0,0
2020/1/13,吉林,0,0,0,0
2020/1/13,辽宁,0,0,0,0
2020/1/13,台湾,0,0,0,0
2020/1/13,新疆,0,0,0,0
2020/1/13,广西,0,0,0,0
2020/1/13,宁夏,0,0,0,0
2020/1/13,内蒙古,0,0,0,0
2020/1/13,西藏,0,0,0,0
2020/1/13,北京,0,0,0,0
2020/1/13,天津,0,0,0,0
2020/1/13,上海,0,0,0,0
2020/1/13,重庆,0,0,0,0
2020/1/13,香港,0,0,0,0
2020/1/13,澳门,0,0,0,0

2020/1/14,全国,41,0,7,1
2020/1/14,广东,0,0,0,0
2020/1/14,青海,0,0,0,0
2020/1/14,四川,0,0,0,0
2020/1/14,海南,0,0,0,0
2020/1/14,陕西,0,0,0,0
2020/1/14,甘肃,0,0,0,0
2020/1/14,云南,0,0,0,0
2020/1/14,湖南,0,0,0,0
2020/1/14,湖北,41,0,7,1
2020/1/14,黑龙江,0,0,0,0
2020/1/14,贵州,0,0,0,0
2020/1/14,山东,0,0,0,0
2020/1/14,江西,0,0,0,0
2020/1/14,河南,0,0,0,0
2020/1/14,河北,0,0,0,0
2020/1/14,山西,0,0,0,0
2020/1/14,安徽,0,0,0,0
2020/1/14,福建,0,0,0,0
2020/1/14,浙江,0,0,0,0
2020/1/14,江苏,0,0,0,0
2020/1/14,吉林,0,0,0,0
2020/1/14,辽宁,0,0,0,0
2020/1/14,台湾,0,0,0,0
2020/1/14,新疆,0,0,0,0
2020/1/14,广西,0,0,0,0
2020/1/14,宁夏,0,0,0,0
2020/1/14,内蒙古,0,0,0,0
2020/1/14,西藏,0,0,0,0
2020/1/14,北京,0,0,0,0
2020/1/14,天津,0,0,0,0
2020/1/14,上海,0,0,0,0
2020/1/14,重庆,0,0,0,0
2020/1/14,香港,0,0,0,0
2020/1/14,澳门,0,0,0,0

2020/1/15,全国,41,0,12,2
2020/1/15,广东,0,0,0,0
2020/1/15,青海,0,0,0,0
2020/1/15,四川,0,0,0,0
2020/1/15,海南,0,0,0,0
2020/1/15,陕西,0,0,0,0
2020/1/15,甘肃,0,0,0,0
2020/1/15,云南,0,0,0,0
2020/1/15,湖南,0,0,0,0
2020/1/15,湖北,41,0,12,2
2020/1/15,黑龙江,0,0,0,0
2020/1/15,贵州,0,0,0,0
2020/1/15,山东,0,0,0,0
2020/1/15,江西,0,0,0,0
2020/1/15,河南,0,0,0,0
2020/1/15,河北,0,0,0,0
2020/1/15,山西,0,0,0,0
2020/1/15,安徽,0,0,0,0
2020/1/15,福建,0,0,0,0
2020/1/15,浙江,0,0,0,0
2020/1/15,江苏,0,0,0,0
2020/1/15,吉林,0,0,0,0
2020/1/15,辽宁,0,0,0,0
2020/1/15,台湾,0,0,0,0
2020/1/15,新疆,0,0,0,0
2020/1/15,广西,0,0,0,0
2020/1/15,宁夏,0,0,0,0
2020/1/15,内蒙古,0,0,0,0
2020/1/15,西藏,0,0,0,0
2020/1/15,北京,0,0,0,0
